id,Word,Part of Speech,Level,Topic_raw
500000947,career,020000003,021000003,People; Work and business
500000948,carefree,020000001,021000004,Notions
500000949,careful,020000001,021000001,People
500000950,carefully,020000002,021000001,Communication
500000951,careless,020000001,021000003,Notions
500000952,carelessly,020000002,021000003,Notions
500000953,carelessness,020000003,021000003,Notions
500000954,caring,020000001,021000004,People
500000955,carnival,020000003,021000004,Politics and society
500000956,carpet,020000003,021000003,Homes and buildings
500000957,carpool,020000003,021000004,Notions
500000958,carriage,020000003,021000003,Time and space; Travel
500000959,carrot,020000003,021000002,Food and drink; Functions
500000960,carry,020000004,021000001,Culture; Functions; People
500000961,carton,020000003,021000003,Food and drink
500000962,cartoon,020000003,021000001,Culture
500000963,carve,020000004,021000004,Culture; Food and drink; Homes and buildings; Notions
500000964,cascade,020000003,021000004,The natural world
500000965,case,020000003,021000001,Functions; Politics and society
500000966,cash,020000003,021000002,Leisure
500000967,cashpoint,020000003,021000003,Travel; Work and business
500000968,cassette,020000003,021000002,Homes and buildings; Leisure
500000969,cast,020000003,021000004,Culture; Health
500000970,cast,020000004,021000004,Culture
500000971,castle,020000003,021000002,Homes and buildings; Leisure; Time and space
500000972,casual,020000001,021000003,Appearance
500000973,casually,020000002,021000004,Politics and society
500000974,cat,020000003,021000001,Animals
500000975,catalog/catalogue,020000003,021000004,Travel
500000976,catalyst,020000003,021000004,Science and technology
500000977,catastrophe,020000003,021000004,Politics and society
500000978,catastrophic,020000001,021000004,Politics and society
500000979,catch,020000003,021000001,Notions
500000980,catch,020000004,021000001,Health; Politics and society; Sport; Travel
500000981,catchy,020000001,021000004,Notions
500000982,categorization/categorisation,020000003,021000004,Politics and society
500000983,categorize/categorise,020000004,021000003,Politics and society
500000984,category,020000003,021000003,Politics and society
500000985,catering,020000003,021000004,Food and drink
500000986,cathedral,020000003,021000004,Homes and buildings; Politics and society
500000987,cattle,020000003,021000003,Animals
500000988,cause,020000003,021000004,Notions
500000989,cause,020000004,021000002,Notions
500000990,caution,020000003,021000003,Functions; Notions; People; Politics and society
500000991,cautious,020000001,021000003,People
500000992,cave,020000003,021000003,The natural world
500000993,CD,020000003,021000001,Culture
500000994,CD player,020000003,021000001,Homes and buildings
500000995,CD-ROM,020000003,021000003,Science and technology
500000996,cease,020000004,021000004,Notions
500000997,ceiling,020000003,021000004,Homes and buildings
500000998,celebrate,020000004,021000001,Politics and society
500000999,celebration,020000003,021000001,Politics and society
500001000,celebrity,020000003,021000003,Culture
500001001,cell,020000003,021000003,Appearance; Politics and society; Science and technology
500001002,cellar,020000003,021000004,Homes and buildings
500001003,cellist,020000003,021000004,Culture
500001004,cello,020000003,021000004,Culture
500001005,cemetery,020000003,021000004,People; Politics and society
500001006,cent,020000003,021000002,Work and business
500001007,center/centre,020000003,021000002,Homes and buildings; Leisure; Politics and society
500001008,centigrade,020000003,021000004,Science and technology; The natural world
500001009,centimeter/centimetre,020000003,021000002,Science and technology
500001010,central,020000001,021000003,Science and technology
500001011,central heating,020000003,021000003,Homes and buildings
500001012,century,020000003,021000002,Sport; Time and space
500001013,cereal,020000003,021000002,Food and drink; The natural world
500001014,ceremony,020000003,021000003,People; Politics and society
500001015,certain,020000001,021000002,Functions
500001016,certainly,020000002,021000002,Notions
500001017,certainty,020000003,021000003,Functions
500001018,certificate,020000003,021000004,Notions; People
500001019,certification,020000003,021000004,People
500001020,certify,020000004,021000004,Work and business
500001021,chain,020000003,021000002,Appearance; Homes and buildings; Leisure
500001022,chair,020000003,021000001,Homes and buildings; People
500001023,chairman,020000003,021000002,Work and business
500001024,challenge,020000003,021000002,Functions
500001025,challenge,020000004,021000004,Functions; Politics and society
500001026,challenging,020000001,021000003,Functions
500001027,champagne,020000003,021000002,Food and drink
500001028,champion,020000003,021000003,Sport
500001029,championship,020000003,021000002,Sport
500001030,chance,020000003,021000002,Notions
500001031,chancellor,020000003,021000004,People; Politics and society
500001032,change,020000003,021000001,Leisure; Notions; The natural world
500001033,change,020000004,021000001,Notions; The natural world; Travel
500001034,channel,020000003,021000003,Culture; People; Science and technology; The natural world; Travel
500001035,chaos,020000003,021000003,Politics and society
500001036,chaotic,020000001,021000004,Politics and society
500001037,chapter,020000003,021000002,Culture; Time and space
500001038,character,020000003,021000001,Communication; Culture; People
500001039,characteristic,020000001,021000004,Notions
500001040,characteristic,020000003,021000003,Notions
500001041,characterize/characterise,020000004,021000003,Time and space
500001042,charge,020000003,021000003,Politics and society; Science and technology
500001043,charge,020000004,021000003,Leisure; Politics and society; Science and technology
500001044,chariot,020000003,021000003,Time and space
500001045,charity,020000003,021000003,Politics and society
500001046,charm,020000003,021000003,Appearance
500001047,charming,020000001,021000004,Notions
500001048,chart,020000003,021000002,Culture
500001049,chase,020000003,021000003,Politics and society
500001050,chase,020000004,021000004,Politics and society
500001051,chat,020000003,021000003,Communication
500001052,chat,020000004,021000002,Communication
500001053,chat show,020000003,021000003,Communication; Leisure
500001054,cheap,020000001,021000002,Leisure; People
500001055,cheat,020000004,021000004,Leisure; People
500001056,check,020000003,021000001,Appearance; Food and drink; Functions; Leisure
500001057,check,020000004,021000002,Appearance; Food and drink; Functions; Leisure
500001058,check-in counter/check-in,020000003,021000003,Travel
500001059,check-in desk/check-in,020000003,021000003,Travel
500001060,checkout,020000003,021000003,Leisure; Travel
500001061,checkpoint,020000003,021000004,Travel
500001062,cheek,020000003,021000002,Appearance; People
500001063,cheeky,020000001,021000004,People
500001064,cheer,020000004,021000002,Time and space
500001065,cheerful,020000001,021000003,People
500001066,cheerfully,020000002,021000004,Communication
500001067,cheerfulness,020000003,021000004,Notions
500001068,cheese,020000003,021000001,Food and drink
500001069,chef,020000003,021000002,Food and drink
500001070,chemical,020000001,021000002,Science and technology
500001071,chemical,020000003,021000003,Science and technology
500001072,chemist,020000003,021000003,Health; Leisure; Science and technology
500001073,chemistry,020000003,021000003,People; Science and technology
500001074,chemotherapy,020000003,021000004,Health
500001075,cheque,020000003,021000002,Leisure
500001076,cherish,020000004,021000003,People
500001077,cherished,020000001,021000004,Notions
500001078,cherry,020000003,021000004,Food and drink; The natural world
500001079,chess,020000003,021000002,Leisure
500001080,chest,020000003,021000002,Appearance; Homes and buildings
500001081,chest of drawers,020000003,021000003,Homes and buildings
500001082,chew,020000004,021000004,Food and drink
500001083,chewing gum,020000003,021000003,Food and drink
500001084,chicken,020000003,021000001,Animals; Food and drink
500001085,chief,020000001,021000003,Politics and society
500001086,chief,020000003,021000004,Politics and society
500001087,child,020000003,021000001,People
500001088,childhood,020000003,021000002,People
500001089,childish,020000001,021000004,People
500001090,chili/chilli,020000003,021000002,Food and drink
500001091,chimney,020000003,021000004,Homes and buildings
500001092,chimpanzee,020000003,021000002,Animals
500001093,chin,020000003,021000002,Appearance
500001094,chip,020000003,021000004,Food and drink; Science and technology; Sport
500001095,chirp,020000003,021000002,Animals
500001096,chocolate,020000003,021000001,Appearance; Food and drink
500001097,choice,020000003,021000002,Functions
500001098,choir,020000003,021000003,Culture; Homes and buildings
500001099,choke,020000004,021000003,Notions
500001100,choose,020000004,021000001,Functions
500001101,chop,020000004,021000004,Food and drink
500001102,Christian,020000001,021000003,Politics and society
500001103,chronological,020000001,021000003,Time and space
500001104,chuckle,020000003,021000003,Notions
500001105,chunk,020000003,021000004,Communication
500001106,church,020000003,021000001,Homes and buildings; Politics and society
500001107,cigarette,020000003,021000002,Politics and society
500001108,cinema,020000003,021000001,Culture; Homes and buildings
500001109,circle,020000003,021000001,Appearance; Culture
500001110,circle,020000004,021000003,Appearance; Culture
500001111,circuit,020000003,021000004,Health; Science and technology; Sport
500001112,circuitry,020000003,021000004,Notions
500001113,circular,020000001,021000003,Appearance; Functions
500001114,circumstance,020000003,021000004,Work and business
500001115,circus,020000003,021000003,Leisure; Travel
500001116,citizen,020000003,021000002,Politics and society
500001117,citizenship,020000003,021000003,Politics and society
500001118,city,020000003,021000001,Homes and buildings
500001119,citywide,020000001,021000004,Homes and buildings
500001120,civil,020000001,021000003,Politics and society
500001121,civilization/civilisation,020000003,021000003,Time and space
500001122,claim,020000003,021000003,Functions; Politics and society
500001123,claim,020000004,021000002,Functions; Notions; Politics and society
500001124,clam,020000003,021000004,Animals
500001125,clap,020000004,021000004,Notions
500001126,clarify,020000004,021000004,Notions
500001127,class,020000003,021000001,Animals; People; Politics and society; Travel
500001128,classic,020000001,021000002,Culture; People
500001129,classic,020000003,021000004,Culture; People
500001130,classical,020000001,021000003,Culture; Homes and buildings; Time and space
500001131,classical music,020000003,021000002,Leisure
500001132,classification,020000003,021000004,Politics and society
500001133,classify,020000004,021000003,Science and technology
500001134,classmate,020000003,021000001,People
500001135,classroom,020000003,021000001,People
500001136,clause,020000003,021000004,Communication; Politics and society
500001137,clean,020000001,021000001,The natural world
500001138,clean,020000004,021000001,Homes and buildings
500001139,cleaner,020000003,021000002,Leisure
500001140,clear,020000001,021000002,The natural world
500001141,clear,020000004,021000003,Sport; The natural world
500001142,clearly,020000002,021000002,Notions
500001143,clearness,020000003,021000004,Politics and society
500001144,clerical,020000001,021000004,Politics and society
500001145,clerk,020000003,021000002,Leisure; Travel
500001146,clever,020000001,021000001,People
500001147,click,020000003,021000003,Science and technology
500001148,click,020000004,021000002,Science and technology
500001149,client,020000003,021000004,Science and technology
500001150,cliff,020000003,021000003,The natural world
500001151,climate,020000003,021000003,The natural world
500001152,climate change,020000003,021000004,The natural world
500001153,climb,020000003,021000001,Notions
500001154,climb,020000004,021000002,Leisure; Notions; Sport
500001155,climber,020000003,021000003,Sport; The natural world
500001156,climbing,020000003,021000002,Leisure; Sport
500001157,clinic,020000003,021000003,Health; Homes and buildings
500001158,clip,020000003,021000003,Culture
500001159,clock,020000003,021000001,Science and technology; Travel
500001160,clog,020000004,021000004,Notions
500001161,clone,020000004,021000002,Science and technology
500001162,close,020000001,021000001,Notions; People; The natural world
500001163,close,020000004,021000001,Leisure
500001164,closed,020000001,021000001,Homes and buildings
500001165,closely,020000002,021000003,Work and business
500001166,closure,020000003,021000004,Travel
500001167,cloth,020000003,021000001,Appearance
500001168,clothes,020000003,021000001,Appearance
500001169,clothing,020000003,021000004,Appearance; Leisure
500001170,cloud,020000003,021000001,The natural world
500001171,cloudy,020000001,021000001,The natural world
500001172,clown,020000003,021000002,Appearance
500001173,club,020000003,021000001,Homes and buildings; Leisure; Sport
500001174,clue,020000003,021000002,Politics and society
500001175,clumsy,020000001,021000004,Appearance
500001176,coach,020000003,021000001,People; Sport; Time and space; Travel
500001177,coach,020000004,021000004,People; Sport
500001178,coaching,020000003,021000004,Work and business
500001179,coal,020000003,021000003,The natural world
500001180,coalition,020000003,021000004,Politics and society
500001181,coarse,020000001,021000004,People
500001182,coast,020000003,021000002,The natural world
500001183,coast,020000004,021000003,Notions; Travel
500001184,coastal,020000001,021000003,The natural world
500001185,coastline,020000003,021000004,The natural world
500001186,coat,020000003,021000001,Animals; Appearance
500001187,cocktail,020000003,021000004,Food and drink
500001188,cocoa,020000003,021000004,Food and drink
500001189,coconut,020000003,021000004,Food and drink
500001190,cod,020000003,021000003,Animals
500001191,code,020000003,021000001,Science and technology
500001192,coffee,020000003,021000001,Appearance; Food and drink
500001193,coffin,020000003,021000003,People
500001194,coherence,020000003,021000004,Notions
500001195,coherent,020000001,021000004,Communication
500001196,coin,020000003,021000002,Leisure
500001197,coincide,020000004,021000004,Time and space
500001198,coincidence,020000003,021000004,Time and space
500001199,coke,020000003,021000001,Food and drink
500001200,cola,020000003,021000002,Food and drink
500001201,cold,020000001,021000001,Functions; The natural world
500001202,cold,020000003,021000001,Health; The natural world
500001203,collapse,020000003,021000003,Health; Notions
500001204,collapse,020000004,021000004,Health; Homes and buildings; Notions
500001205,collar,020000003,021000003,Appearance
500001206,colleague,020000003,021000004,People; Work and business
500001207,collect,020000004,021000001,Culture
500001208,collection,020000003,021000001,Appearance; Culture; Politics and society
500001209,collector,020000003,021000004,Culture; Leisure
500001210,college,020000003,021000001,People
500001211,collocation,020000003,021000004,Communication
500001212,colon,020000003,021000004,Appearance; Communication
500001213,colonial,020000001,021000004,Homes and buildings
500001214,color/colour,020000003,021000001,Appearance; Politics and society; Travel
500001215,color/colour,020000004,021000001,Appearance
500001216,colorful/colourful,020000001,021000002,Appearance
500001217,column,020000003,021000002,Appearance; Culture; Homes and buildings
500001218,columnist,020000003,021000003,Culture
500001219,coma,020000003,021000004,Health
500001220,comb,020000003,021000002,Appearance
500001221,comb,020000004,021000004,Appearance
500001222,combination,020000003,021000003,Health
500001223,combine,020000004,021000003,Work and business
500001224,come,020000004,021000001,Travel
500001225,comedian,020000003,021000003,People
500001226,comedy,020000003,021000003,Culture
500001227,comet,020000003,021000003,Time and space
500001228,comfort,020000003,021000003,Health
500001229,comfortable,020000001,021000002,Appearance; People
500001230,comfortably,020000002,021000004,Work and business
500001231,comic,020000001,021000002,Culture
500001232,comic,020000003,021000002,Culture
500001233,comma,020000003,021000003,Communication
500001234,command,020000003,021000003,Politics and society; Science and technology
500001235,commander,020000003,021000004,Politics and society
500001236,commemorate,020000004,021000004,Politics and society
500001237,comment,020000003,021000003,Functions
500001238,comment,020000004,021000004,Functions
500001239,commerce,020000003,021000004,Politics and society
500001240,commercial,020000001,021000003,Culture
500001241,commercial,020000003,021000004,Culture
500001242,commission,020000003,021000004,Politics and society
500001243,commit,020000004,021000003,Functions; People; Politics and society
500001244,commitment,020000003,021000002,Functions
500001245,committee,020000003,021000002,Politics and society
500001246,common,020000001,021000002,Communication
500001247,common sense,020000003,021000003,Functions
500001248,commonly,020000002,021000003,Politics and society
500001249,commonwealth,020000003,021000004,Time and space
500001250,communicate,020000004,021000002,Health
500001251,communication,020000003,021000002,Communication
500001252,communicative,020000001,021000004,Communication
500001253,community,020000003,021000004,Politics and society; Science and technology
500001254,commute,020000004,021000004,Travel
500001255,companion,020000003,021000003,People
500001256,company,020000003,021000002,Work and business
500001257,comparative,020000003,021000002,Communication
500001258,compare,020000004,021000002,Communication
500001259,comparison,020000003,021000003,Politics and society
500001260,compassion,020000003,021000004,Politics and society
500001261,compassionate,020000001,021000004,People
500001262,compatible,020000001,021000004,People; Science and technology
500001263,compensate,020000004,021000004,Work and business
500001264,compensation,020000003,021000004,Work and business
500001265,compete,020000004,021000003,Notions; Sport
500001266,competence,020000003,021000004,Work and business
500001267,competent,020000001,021000004,People
500001268,competition,020000003,021000002,Sport
500001269,competitive,020000001,021000003,Sport
500001270,competitor,020000003,021000003,Sport
500001271,compile,020000004,021000004,Science and technology
500001272,complain,020000004,021000002,People
500001273,complaint,020000003,021000002,Health
500001274,complement,020000003,021000003,Communication
500001275,complete,020000001,021000002,Communication
500001276,complete,020000004,021000003,Communication
500001277,completely,020000002,021000003,Time and space
500001278,completion,020000003,021000004,Work and business
500001279,complex,020000001,021000003,Time and space
500001280,complexion,020000003,021000004,Appearance
500001281,complexity,020000003,021000004,Politics and society
500001282,complicate,020000004,021000003,Notions
500001283,complicated,020000001,021000003,Notions
500001284,compliment,020000003,021000003,Functions
500001285,component,020000003,021000004,Notions
500001286,compose,020000004,021000003,Culture
500001287,composer,020000003,021000002,Culture
500001288,composition,020000003,021000003,Culture; People; Science and technology
500001289,compound,020000003,021000003,Communication; Science and technology
500001290,comprehension,020000003,021000004,People
500001291,comprehensive,020000001,021000004,People
500001292,compress,020000003,021000004,Politics and society
500001293,compression,020000003,021000004,Science and technology
500001294,compromise,020000003,021000003,Functions
500001295,compromise,020000004,021000004,Functions; Notions
500001296,compulsory,020000001,021000004,Functions; People
500001297,compute,020000004,021000004,Notions
500001298,computer,020000003,021000001,Science and technology
500001299,conceal,020000004,021000004,Notions
500001300,concede,020000004,021000004,Functions
500001301,conceit,020000003,021000004,Culture; People
500001302,conceivable,020000001,021000004,Functions
500001303,conceive,020000004,021000004,People
500001304,concentrate,020000004,021000002,Time and space
500001305,concentration,020000003,021000003,Politics and society
500001306,concept,020000003,021000003,Notions
500001307,conception,020000003,021000004,People
500001308,concern,020000003,021000002,Notions
500001309,concern,020000004,021000004,Notions
500001310,concerned,020000001,021000003,Notions
500001311,concert,020000003,021000001,Culture
500001312,concession,020000003,021000004,Functions; Travel
500001313,conclude,020000004,021000003,Functions; Science and technology
500001314,conclusion,020000003,021000003,Culture; Science and technology
500001315,concrete,020000001,021000004,Functions; Homes and buildings; Science and technology
500001316,concrete,020000003,021000004,Science and technology
500001317,condemn,020000004,021000004,Politics and society
500001318,condition,020000003,021000002,Functions; Health; Leisure
500001319,conduct,020000003,021000003,Culture; Science and technology
500001320,conduct,020000004,021000004,Culture; Science and technology
500001321,conductor,020000003,021000004,Culture; Science and technology; Travel
500001322,cone,020000003,021000004,Appearance; The natural world; Travel
500001323,conference,020000003,021000004,Work and business
500001324,conferencing,020000003,021000004,Politics and society
500001325,confess,020000004,021000004,People; Politics and society
500001326,confession,020000003,021000004,People; Politics and society
500001327,confidence,020000003,021000003,Functions; People
500001328,confident,020000001,021000002,Functions; People
500001329,confidently,020000002,021000004,Functions
500001330,confine,020000004,021000004,Animals
500001331,confirm,020000004,021000003,Functions; Politics and society; Science and technology
500001332,confirmation,020000003,021000003,Politics and society
500001333,conflict,020000003,021000003,Functions; Politics and society
500001334,confront,020000004,021000004,Appearance
500001335,confuse,020000004,021000002,Notions
500001336,confused,020000001,021000002,Notions
500001337,confusing,020000001,021000003,Notions
500001338,confusion,020000003,021000003,Functions
500001339,congratulate,020000004,021000003,Notions
500001340,conjunction,020000003,021000004,Communication
500001341,connect,020000004,021000003,Communication; Science and technology
500001342,connection/connexion,020000003,021000003,Communication; Travel
500001343,conquer,020000004,021000003,Notions; Politics and society; Time and space
500001344,conquest,020000003,021000004,Notions; Time and space
500001345,conscience,020000003,021000004,People
500001346,conscious,020000001,021000003,Health
500001347,consciousness,020000003,021000004,Functions
500001348,consensus,020000003,021000004,Functions
500001349,consent,020000003,021000004,Functions
500001350,consequence,020000003,021000002,Notions
500001351,consequently,020000002,021000003,Notions
500001352,conservation,020000003,021000003,Homes and buildings; The natural world
500001353,conservative,020000001,021000003,Politics and society
500001354,consider,020000004,021000002,Functions
500001355,considerable,020000001,021000003,Appearance
500001356,considerably,020000002,021000004,Notions
500001357,consideration,020000003,021000003,Appearance
500001358,consist,020000004,021000002,Notions
500001359,consistent,020000001,021000004,Functions
500001360,consolation,020000003,021000004,Notions
500001361,console,020000004,021000004,Notions
500001362,consonant,020000003,021000003,Communication
500001363,constant,020000001,021000004,Time and space
500001364,constantly,020000002,021000003,Time and space
500001365,constitute,020000004,021000003,Notions
500001366,constitution,020000003,021000003,Politics and society
500001367,construct,020000004,021000003,Homes and buildings
500001368,construction,020000003,021000003,Homes and buildings
500001369,consult,020000004,021000004,Functions; Health
500001370,consultant,020000003,021000004,Functions; Health
500001371,consume,020000004,021000003,The natural world
500001372,consumer,020000003,021000003,People; Work and business
500001373,consumption,020000003,021000003,The natural world
500001374,contact,020000003,021000002,Communication
500001375,contact,020000004,021000002,Communication
500001376,contain,020000004,021000003,Notions
500001377,container,020000003,021000002,Homes and buildings; Travel
500001378,contaminate,020000004,021000004,The natural world
500001379,contemporary,020000001,021000004,Homes and buildings; Time and space
500001380,contempt,020000003,021000004,People
500001381,content,020000001,021000004,People
500001382,content,020000003,021000003,People
500001383,contest,020000003,021000001,Politics and society
500001384,context,020000003,021000002,Communication; People
500001385,continent,020000003,021000002,The natural world
500001386,continual,020000001,021000003,Time and space
500001387,continually,020000002,021000003,Time and space
500001388,continue,020000004,021000002,Work and business
500001389,continuous,020000001,021000003,Communication; Time and space
500001390,continuously,020000002,021000003,Time and space
500001391,contract,020000003,021000004,Functions; Homes and buildings; Politics and society
500001392,contradict,020000004,021000004,Functions
500001393,contradiction,020000003,021000004,Functions
500001394,contradictory,020000001,021000004,Functions
500001395,contrary,020000001,021000003,People
500001396,contrast,020000003,021000002,Appearance; Culture
500001397,contribute,020000004,021000003,Culture; Notions
500001398,contribution,020000003,021000003,Notions
500001399,control,020000003,021000002,Science and technology
500001400,control,020000004,021000003,Science and technology
500001401,controversial,020000001,021000003,Functions; People
500001402,controversy,020000003,021000004,Functions
500001403,convenience,020000003,021000002,Time and space
500001404,convenient,020000001,021000002,Time and space
500001405,conveniently,020000002,021000004,Time and space
500001406,convention,020000003,021000004,Functions; Politics and society
500001407,conventional,020000001,021000004,Health
500001408,conversation,020000003,021000001,Communication
500001409,converse,020000003,021000004,Notions
500001410,conversely,020000002,021000004,Notions
500001411,conversion,020000003,021000004,Homes and buildings; Politics and society; Sport
500001412,convert,020000004,021000004,Functions; Homes and buildings; Politics and society; Sport
500001413,convey,020000004,021000003,Time and space
500001414,convince,020000004,021000003,Functions
500001415,convinced,020000001,021000004,Functions
500001416,cook,020000003,021000001,Food and drink
500001417,cook,020000004,021000001,Food and drink
500001418,cooker,020000003,021000002,Food and drink; Homes and buildings
500001419,cookie,020000003,021000001,Communication; Food and drink
500001420,cooking,020000003,021000002,Food and drink; Leisure
500001421,cool,020000001,021000001,Functions; People; The natural world
500001422,cool,020000004,021000004,Functions; People; The natural world
500001423,cooler,020000003,021000002,Food and drink
500001424,cooperate,020000004,021000004,Functions
500001425,cooperation,020000003,021000004,Functions
500001426,cooperative,020000001,021000004,Functions
500001427,cop,020000003,021000001,Politics and society
500001428,cope,020000004,021000004,Notions
500001429,copper,020000003,021000004,Politics and society; Science and technology
500001430,copy,020000003,021000001,People; Work and business
500001431,copy,020000004,021000002,Work and business
500001432,copyright,020000003,021000003,Politics and society
500001433,coral,020000003,021000004,Animals; Appearance
500001434,core,020000003,021000004,Food and drink
500001435,corn,020000003,021000001,Food and drink; The natural world
500001436,corner,020000003,021000001,Homes and buildings; Sport; Travel
500001437,cornerstone,020000003,021000004,Homes and buildings
500001438,cornet,020000003,021000004,Culture
500001439,corona,020000003,021000004,Health; Time and space
500001440,corporal,020000001,021000004,Notions
500001441,corporate,020000001,021000004,Work and business
500001442,corporation,020000003,021000004,Politics and society
500001443,correct,020000001,021000001,Communication
500001444,correct,020000004,021000004,Communication
500001445,correction,020000003,021000003,Time and space
500001446,correctly,020000002,021000002,Politics and society
500001447,correctness,020000003,021000004,Communication
500001448,correspond,020000004,021000004,Sport
500001449,correspondence,020000003,021000004,Notions
500001450,correspondent,020000003,021000004,Culture
500001451,corresponding,020000001,021000004,Notions
500001452,corridor,020000003,021000004,Homes and buildings; People; Travel
500001453,corrupt,020000001,021000004,People; Politics and society
500001454,corruption,020000003,021000004,People; Politics and society; Science and technology
500001455,cost,020000003,021000002,Leisure; Notions
500001456,cost,020000004,021000002,Leisure; Notions
500001457,costly,020000001,021000004,Work and business
500001458,costume,020000003,021000004,Appearance; Culture; Time and space
500001459,cottage,020000003,021000004,Homes and buildings; Travel
500001460,cotton,020000003,021000003,Appearance; The natural world
500001461,couch,020000003,021000001,Homes and buildings
500001462,cough,020000003,021000004,Health
500001463,cough,020000004,021000003,Health
500001464,council,020000003,021000003,Politics and society
500001465,counseling/counselling,020000003,021000003,Functions
500001466,count,020000003,021000003,Functions; Politics and society; Science and technology
500001467,count,020000004,021000002,Science and technology
500001468,counter,020000003,021000004,Food and drink; Leisure
500001469,counter,020000004,021000003,Food and drink; Leisure
500001470,countless,020000001,021000003,Notions
500001471,country,020000003,021000002,Culture; The natural world
500001472,countryman,020000003,021000004,People
500001473,countryside,020000003,021000002,The natural world
500001474,countrywide,020000001,021000004,Politics and society
500001475,county,020000003,021000003,People
500001476,couple,020000003,021000002,People
500001477,courage,020000003,021000003,People
500001478,courageous,020000001,021000003,People
500001479,courgette,020000003,021000003,Food and drink
500001480,course,020000003,021000001,Food and drink; Health; People; Sport; The natural world
500001481,court,020000003,021000002,Homes and buildings; Politics and society; Sport
500001482,courtesy,020000003,021000004,Communication
500001483,cousin,020000003,021000001,People
500001484,cover,020000003,021000001,Culture; Politics and society; The natural world
500001485,cover,020000004,021000002,Culture
500001486,cow,020000003,021000001,Animals
500001487,coward,020000003,021000004,People
500001488,cowardly,020000001,021000004,People
500001489,coziness/cosiness,020000003,021000004,Politics and society
500001490,cozy/cosy,020000001,021000004,Homes and buildings
500001491,crab,020000003,021000004,Animals; Food and drink
500001492,crack,020000003,021000004,Politics and society; The natural world
500001493,crack,020000004,021000004,Politics and society; Science and technology
500001494,craft,020000003,021000003,Leisure; Travel
500001495,craftsman,020000003,021000004,People; Work and business
500001496,crash,020000003,021000003,Science and technology; Travel
500001497,crash,020000004,021000003,Science and technology; Travel
500001498,crater,020000003,021000004,The natural world
500001499,crawl,020000004,021000004,Animals; Communication; People
500001500,crazy,020000001,021000002,People
500001501,cream,020000001,021000002,Appearance
500001502,cream,020000003,021000001,Appearance; Food and drink
500001503,crease,020000003,021000004,Sport
500001504,create,020000004,021000002,Notions
500001505,creation,020000003,021000004,Politics and society
500001506,creative,020000001,021000002,People
500001507,creatively,020000002,021000004,Work and business
500001508,creativity,020000003,021000002,Leisure
500001509,creator,020000003,021000003,People; Work and business
500001510,creature,020000003,021000002,Animals
500001511,credit,020000003,021000002,Culture; Leisure; Notions; People
500001512,credit card,020000003,021000001,Leisure
500001513,creek,020000003,021000004,The natural world
500001514,creepy,020000001,021000004,People
500001515,crew,020000003,021000004,Sport; Travel
500001516,cricket,020000003,021000002,Animals; Sport
500001517,crime,020000003,021000002,Politics and society
500001518,criminal,020000001,021000004,People; Politics and society
500001519,criminal,020000003,021000003,Politics and society
500001520,cripple,020000003,021000004,Health
500001521,crisis,020000003,021000003,Health; Notions
500001522,crisp,020000003,021000002,Food and drink
500001523,critic,020000003,021000003,Culture; Functions
500001524,critical,020000001,021000003,Notions
500001525,critically,020000002,021000004,Notions
500001526,criticism,020000003,021000004,Functions
500001527,criticize/criticise,020000004,021000002,Functions
500001528,crocodile,020000003,021000004,Animals
500001529,crop,020000003,021000003,Animals; Appearance; The natural world
500001530,cross,020000003,021000002,Appearance; Politics and society; Sport; The natural world
500001531,cross,020000004,021000002,Sport; The natural world
500001532,crossing,020000003,021000003,Travel
500001533,crossly,020000002,021000004,Notions
500001534,crossroads,020000003,021000003,Travel
500001535,crow,020000003,021000003,Animals
500001536,crowd,020000003,021000002,Travel
500001537,crowded,020000001,021000002,Politics and society
500001538,crown,020000003,021000002,Appearance; Politics and society; The natural world; Time and space
500001539,crucial,020000001,021000004,Notions
500001540,cruel,020000001,021000003,People
500001541,cruelly,020000002,021000004,Health
500001542,cruelty,020000003,021000004,Health
500001543,cruise,020000003,021000002,Travel
500001544,cruise,020000004,021000004,Notions; Travel
500001545,crush,020000003,021000003,People
500001546,cry,020000003,021000001,People
500001547,cry,020000004,021000002,People
500001548,crystallize/crystallise,020000004,021000004,Notions
500001549,cube,020000003,021000004,Appearance; Science and technology
500001550,cubism,020000003,021000004,Culture; People
500001551,cucumber,020000003,021000003,Food and drink
500001552,cuff,020000003,021000004,Appearance
500001553,culmination,020000003,021000004,Appearance
500001554,cultivate,020000004,021000003,The natural world
500001555,cultural,020000001,021000003,Leisure
500001556,culturally,020000002,021000004,Leisure
500001557,culture,020000003,021000001,Leisure; People
500001558,cup,020000003,021000001,Sport
500001559,cupboard,020000003,021000002,Homes and buildings
500001560,cure,020000003,021000003,Health
500001561,cure,020000004,021000004,Health; Notions
500001562,curiosity,020000003,021000003,Leisure
500001563,curious,020000001,021000003,People
500001564,curiously,020000002,021000003,Notions
500001565,curl,020000003,021000004,Appearance
500001566,curly,020000001,021000003,Appearance
500001567,currency,020000003,021000003,Leisure; Travel
500001568,current,020000001,021000003,Politics and society
500001569,currently,020000002,021000003,Time and space
500001570,curriculum,020000003,021000003,People
500001571,curry,020000003,021000002,Food and drink
500001572,curse,020000003,021000002,Culture; Leisure
500001573,cursor,020000003,021000004,Science and technology
500001574,curtain,020000003,021000003,Culture; Homes and buildings
