
contentsid,page_s,page_e,grade,main_unit,sub_unit,contents,vsm
c399862d3b9d6b76c8436e924a68c45b,11,11,中学1年,正の数・負の数,絶対値と数の大小,11. 絶対値[改訂版 STEP演習 中学数学1 STEP A 問題11]  \n次の数の絶対値を答えなさい。  \n(1) +18  \n(2) −3.2  \n(3) +\frac{{13}}{{5}}  \n(4) −\frac{{9}}{{4}}  \n(5) +25  \n\n解答 (1) 18  (2) 3.2  (3) \frac{{13}}{{5}}  (4) \frac{{9}}{{4}}  (5) 25  \n\n(1) 18  \n(2) 3.2  \n(3) \frac{{13}}{{5}}  \n(4) \frac{{9}}{{4}}  \n(5) 25  \n\n−11−,
c399862d3b9d6b76c8436e924a68c45b,12,12,中学1年,正の数・負の数,絶対値と数の大小,"12. 絶対値 [改訂版 STEP演習 中学数学1 STEP A 問題12]  \n絶対値が次の数になる数をすべて答えなさい。  \n(1) 2  \n(2) 17  \n(3) \frac{{4}}{{5}}  \n(4) 0  \n(5) 7.2  \n\n解答  \n(1) +2, −2  \n(2) +17, −17  \n(3) +\frac{{4}}{{5}}, −\frac{{4}}{{5}}  \n(4) 0  \n(5) +7.2, −7.2  \n\n(1) +2, −2  \n(2) +17, −17  \n(3) +\frac{{4}}{{5}}, −\frac{{4}}{{5}}  \n(4) 0  \n(5) +7.2, −7.2  ",
c399862d3b9d6b76c8436e924a68c45b,13,13,中学1年,正の数・負の数,絶対値と数の大小,13. 絶対値 [改訂版 STEP演習 中学数学1 STEP A 問題13]  \n次の２つの数のうち、大きい方の数を答えなさい。また、絶対値が大きい方の数を答えなさい。  \n(1) +7 と +11  \n(2) −9 と +8  \n(3) −2 と −6  \n(4) −11 と −3  \n(5) + \frac{{2}}{{3}} と − \frac{{4}}{{3}}  \n(6) −1.2 と + \frac{{1}}{{5}}  \n\n解答  \n(1) 大きい方の数は +11、絶対値が大きい方の数は +11  \n(2) 大きい方の数は +8、絶対値が大きい方の数は −9  \n(3) 大きい方の数は −2、絶対値が大きい方の数は −6  \n(4) 大きい方の数は −3、絶対値が大きい方の数は −11  \n(5) 大きい方の数は + \frac{{2}}{{3}}、絶対値が大きい方の数は − \frac{{4}}{{3}}  \n(6) 大きい方の数は + \frac{{1}}{{5}}、絶対値が大きい方の数は −1.2  \n\n(1) 大きい方の数は +11  \n+7 の絶対値は 7、+11 の絶対値は 11 であるから、絶対値が大きい方の数は +11  \n\n(2) 大きい方の数は +8  \n−9 の絶対値は 9、+8 の絶対値は 8 であるから、絶対値が大きい方の数は −9  \n\n(3) 大きい方の数は −2  \n−2 の絶対値は 2、−6 の絶対値は 6 であるから、絶対値が大きい方の数は −6  \n\n(4) 大きい方の数は −3  \n−11 の絶対値は 11、−3 の絶対値は 3 であるから、絶対値が大きい方の数は −11  \n\n(5) 大きい方の数は + \frac{{2}}{{3}}  \n+ \frac{{2}}{{3}} の絶対値は \frac{{2}}{{3}}、− \frac{{4}}{{3}} の絶対値は \frac{{4}}{{3}} であるから、絶対値が大きい方の数は − \frac{{4}}{{3}}  \n\n(6) 大きい方の数は + \frac{{1}}{{5}}  \n−1.2 の絶対値は 1.2、+ \frac{{1}}{{5}} の絶対値は \frac{{1}}{{5}}  \n\frac{{1}}{{5}} = 0.2 であるから、絶対値が大きい方の数は −1.2  \n\n−13−,
c399862d3b9d6b76c8436e924a68c45b,14,14,中学1年,正の数・負の数,絶対値と数の大小,"14. 数直線［改訂版 STEP演習 中学数学１ STEP B 問題14］  \n下の(1)、(2)の数直線で、点A、B、Cの表す数を答えなさい。  \n\n(1)  \n（数直線：目盛 −20, −10, 0, 10, 20）  \n A が −20  \n B が −5  \n C が +15  \n\n(2)  \n（数直線：−1 から 1 を５等分した目盛、−1, 0, 1）  \n １目盛あたり 0.2  \n A が −0.6 (= −3/5)  \n B が +0.2 (= +1/5)  \n C が +0.8 (= +4/5)  \n\n解答  \n(1) \(A:-20,\quad B:-5,\quad C:+15\)  \n(2) \(A:-0.6\bigl(-\frac{{3}}{{5}}\bigr),\quad B:+0.2\bigl(+\frac{{1}}{{5}}\bigr),\quad C:+0.8\bigl(+\frac{{4}}{{5}}\bigr)\)  \n\n(1) \(A:-20,\quad B:-5,\quad C:+15\)  \n(2) \(A:-0.6\bigl(-\frac{{3}}{{5}}\bigr),\quad B:+0.2\bigl(+\frac{{1}}{{5}}\bigr),\quad C:+0.8\bigl(+\frac{{4}}{{5}}\bigr)\)",
c399862d3b9d6b76c8436e924a68c45b,15,15,中学1年,正の数・負の数,絶対値と数の大小,"15. 数の大小と不等号［改訂版 STEP演習 中学数学1 STEP B 問題15］  \n次の各組の数の大小を、不等号を使って表しなさい。  \n(1) −2.5, −\frac{{12}}{{5}}, 0  \n(2) −0.99, −1, −0.999  \n(3) −2, 0, +1.5, −3.3  \n(4) −1, +\frac{{1}}{{2}}, −0.6, +0.3  \n(5) −\frac{{7}}{{15}}, +\frac{{3}}{{7}}, +0.5, −0.5  \n\n解答  \n(1) −2.5 < −\frac{{12}}{{5}} < 0  \n(2) −1 < −0.999 < −0.99  \n(3) −3.3 < −2 < 0 < +1.5  \n(4) −1 < −0.6 < +0.3 < +\frac{{1}}{{2}}  \n(5) −0.5 < −\frac{{7}}{{15}} < +\frac{{3}}{{7}} < +0.5  \n\n（くわしい計算）  \n(1) −\frac{{12}}{{5}} = −2.4　よって −2.5 < −\frac{{12}}{{5}} < 0  \n(2) −1 < −0.999 < −0.99  \n(3) −3.3 < −2 < 0 < +1.5  \n(4) +\frac{{1}}{{2}} = +0.5　よって −1 < −0.6 < +0.3 < +\frac{{1}}{{2}}  \n(5) −\frac{{7}}{{15}} = −0.46…、+\frac{{3}}{{7}} = +0.42…　よって −0.5 < −\frac{{7}}{{15}} < +\frac{{3}}{{7}} < +0.5",
c399862d3b9d6b76c8436e924a68c45b,16,16,中学1年,正の数・負の数,絶対値と数の大小,"16. 数の大小と絶対値 [改訂版 STEP演習 中学数学1 STEP B 問題16]  \n次の問いに答えなさい。  \n−3.9, +3.7, +\frac{{13}}{{3}}, −2.5, +4, −\frac{{19}}{{5}}, +\frac{{25}}{{6}}, −4.3\n\n(1) 上の数の中から、もっとも小さい数を選びなさい。  \n(2) 上の数を、絶対値の小さい方から順に並べなさい。\n\n解答  \n(1) −4.3  \n(2) −2.5, +3.7, −\frac{{19}}{{5}}, −3.9, +4, +\frac{{25}}{{6}}, −4.3, +\frac{{13}}{{3}}\n\n+\frac{{13}}{{3}} = +4.33…,  −\frac{{19}}{{5}} = −3.8,  +\frac{{25}}{{6}} = +4.16… である。\n\n(1) −4.3  \n(2) −2.5, +3.7, −\frac{{19}}{{5}}, −3.9, +4, +\frac{{25}}{{6}}, −4.3, +\frac{{13}}{{3}}",
c399862d3b9d6b76c8436e924a68c45b,17,17,中学1年,正の数・負の数,絶対値と数の大小,"17. 数の大小と絶対値［改訂版 STEP演習 中学数学1 STEP B 問題17］  \n次の問いに答えなさい。  \n(1) 絶対値が 4 以下となる整数をすべて答えなさい。  \n(2) 絶対値が \frac{{5}}{{2}} 以上 \frac{{14}}{{3}} 以下となる整数をすべて答えなさい。  \n(3) 絶対値が 4 以上 8 未満となる整数は何個あるか答えなさい。  \n\n解答  \n(1) ‐4, ‐3, ‐2, ‐1, 0, +1, +2, +3, +4  \n(2) ‐4, ‐3, +3, +4  \n(3) 8 個  \n\n(1) ‐4, ‐3, ‐2, ‐1, 0, +1, +2, +3, +4  \n(2) \frac{{5}}{{2}} = 2.5,\ \frac{{14}}{{3}} = 4.6\ldots であるから、求める整数は ‐4, ‐3, +3, +4  \n(3) 絶対値が 4 以上 8 未満となる整数は  \n‒7, ‒6, ‒5, ‒4, +4, +5, +6, +7  \nよって 8 個",
c399862d3b9d6b76c8436e924a68c45b,18,18,中学1年,正の数・負の数,正の数・負の数の加法，減法,18. 加法［改訂版 STEP演習 中学数学1 STEP A 問題18］  \n次の計算をしなさい。  \n(1) \((+1)+(+8)\) (2) \((−4)+(−5)\) (3) \((+3)+(+9)\)  \n(4) \((−6)+(−2)\) (5) \((−3)+(−4)\) (6) \((+1)+(+9)\)  \n(7) \((−13)+(−6)\) (8) \((+24)+(+35)\) (9) \((−46)+(−19)\)  \n\n解答  \n(1) +9 (2) −9 (3) +12 (4) −8 (5) −7 (6) +10 (7) −19 (8) +59 (9) −65  \n\n(1)  \n\((+1)+(+8)=+(1+8)\)  \n\(=+9\)  \n\n(2)  \n\((−4)+(−5)=−(4+5)\)  \n\(=−9\)  \n\n(3)  \n\((+3)+(+9)=+(3+9)\)  \n\(=+12\)  \n\n(4)  \n\((−6)+(−2)=−(6+2)\)  \n\(=−8\)  \n\n(5)  \n\((−3)+(−4)=−(3+4)\)  \n\(=−7\)  \n\n(6)  \n\((+1)+(+9)=+(1+9)\)  \n\(=+10\)  \n\n(7)  \n\((−13)+(−6)=−(13+6)\)  \n\(=−19\)  \n\n(8)  \n\((+24)+(+35)=+(24+35)\)  \n\(=+59\)  \n\n(9)  \n\((−46)+(−19)=−(46+19)\)  \n\(=−65\),
c399862d3b9d6b76c8436e924a68c45b,19,19,中学1年,正の数・負の数,正の数・負の数の加法，減法,19. 加法[改訂版 STEP演習 中学数学1 STEP A 問題19]  \n次の計算をしなさい。  \n(1) \( (-2) + (+6) \) (2) \( (-4) + (+3) \) (3) \( (+9) + (-5) \)  \n(4) \( (+8) + (-8) \) (5) \( (+5) + (-7) \) (6) \( (-12) + 0 \)  \n(7) \( (+4) + (-25) \) (8) \( (-37) + (+51) \) (9) \( (+45) + (-74) \)  \n\n解答  \n(1) \( +4 \) (2) \( -1 \) (3) \( +4 \) (4) \( 0 \)  \n(5) \( -2 \) (6) \( -12 \) (7) \( -21 \) (8) \( +14 \) (9) \( -29 \)  \n\n解答の過程  \n(1) \( (-2) + (+6) = +(6 - 2) = +4 \)  \n(2) \( (-4) + (+3) = -(4 - 3) = -1 \)  \n(3) \( (+9) + (-5) = +(9 - 5) = +4 \)  \n(4) \( (+8) + (-8) = 0 \)  \n(5) \( (+5) + (-7) = -(7 - 5) = -2 \)  \n(6) \( (-12) + 0 = -12 \)  \n(7) \( (+4) + (-25) = -(25 - 4) = -21 \)  \n(8) \( (-37) + (+51) = +(51 - 37) = +14 \)  \n(9) \( (+45) + (-74) = -(74 - 45) = -29 \)  \n\n−19−,
c399862d3b9d6b76c8436e924a68c45b,20,21,中学1年,正の数・負の数,正の数・負の数の加法，減法,20. 加法の計算法則［改訂版　STEP演習　中学数学1　STEP A　問題20］  \nくふうして，次の計算をしなさい。  \n(1) \( (-6) + (+2) + (+6) \)  \n(2) \( (-9) + (-25) + (+35) \)  \n(3) \( (-27) + (-15) + (+7) \)  \n(4) \( (+42) + (-26) + (+6) + (-42) \)  \n(5) \( (+34) + (-5) + (-4) + (+15) \)  \n(6) \( (-8) + (+21) + (-1) + (+58) \)  \n(7) \( (-78) + (+41) + (+69) + (-82) \)  \n(8) \( (+43) + (-92) + (-18) + (+47) \)  \n\n（ウサギの吹き出し）  \n「どんなくふうをしたのか説明してみよう。」\n\n［解答］  \n(1) \(+2\)  \n(2) \(+1\)  \n(3) \(-35\)  \n(4) \(-20\)  \n(5) \(+40\)  \n(6) \(+70\)  \n(7) \(-50\)  \n(8) \(-20\) (1) \((-6)+(+2)+(+6)=(-6)+(+6)+(+2)\)  \n　　\(\;=\{(-6)+(+6)\}+(+2)\)  \n　　\(\;=0+(+2)\)  \n　　\(\;=+2\)\n\n(2) \((-9)+(-25)+(+35)=(-9)+\{(-25)+(+35)\}\)  \n　　\(\;=(-9)+(+10)\)  \n　　\(\;=+1\)\n\n(3) \((-27)+(-15)+(+7)=(-27)+(+7)+(-15)\)  \n　　\(\;=\{(-27)+(+7)\}+(-15)\)  \n　　\(\;=(-20)+(-15)\)  \n　　\(\;=-35\)\n\n(4) \((+42)+(-26)+(+6)+(-42)=(+42)+(-42)+(-26)+(+6)\)  \n　　\(\;=\{(+42)+(-42)\}+\{(-26)+(+6)\}\)  \n　　\(\;=0+(-20)\)  \n　　\(\;=-20\)\n\n(5) \((+34)+(-5)+(-4)+(+15)=(+34)+(-4)+(-5)+(+15)\)  \n　　\(\;=\{(+34)+(-4)\}+\{(-5)+(+15)\}\)  \n　　\(\;=(+30)+(+10)\)  \n　　\(\;=+40\)\n\n(6) \((-8)+(+21)+(-1)+(+58)=(-8)+(+58)+(+21)+(-1)\)  \n　　\(\;=\{(-8)+(+58)\}+\{(+21)+(-1)\}\)  \n　　\(\;=(+50)+(+20)\)  \n　　\(\;=+70\)\n\n(7) \((-78)+(+41)+(+69)+(-82)=(-78)+(-82)+(+41)+(+69)\)  \n　　\(\;=\{(-78)+(-82)\}+\{(+41)+(+69)\}\)  \n　　\(\;=(-160)+(+110)\)  \n　　\(\;=-50\)\n\n(8) \((+43)+(-92)+(-18)+(+47)=(+43)+(+47)+(-92)+(-18)\)  \n　　\(\;=\{(+43)+(+47)\}+\{(-92)+(-18)\}\)  \n　　\(\;=(+90)+(-110)\)  \n　　\(\;=-20\)\n\n-21-,
c399862d3b9d6b76c8436e924a68c45b,22,22,中学1年,正の数・負の数,正の数・負の数の加法，減法,21. 加法［改訂版 STEP演習 中学数学1 ドリル21］  \n次の計算をしなさい。  \n(1) \((+3)+(＋2)\)     (2) \((+1)+(－6)\)  \n(3) \((－2)+(＋2)\)    (4) \((－7)+(－12)\)  \n(5) \(0+(＋14)\)       (6) \((+13)+(＋34)\)  \n(7) \((－21)+(＋38)\)  (8) \((－28)+(－44)\)  \n(9) \((+54)+(－36)\)   (10) \((－46)+(－46)\)  \n(11) \((－72)+0\)       (12) \((+49)+(－62)\)  \n(13) \((+32)+(－9)+(－22)\)  \n(14) \((－24)+(＋43)+(＋17)+(－16)\)  \n\n解答  \n(1) +5   (2) −5   (3) 0   (4) −19   (5) +14   (6) +47  \n(7) +17   (8) −72   (9) +18   (10) −92   (11) −72   (12) −13  \n(13) +1   (14) +20  \n\n＜解答の過程＞  \n(1) \((+3)+(＋2)=+(3+2)=+5\)  \n(2) \((+1)+(－6)=−(6−1)=−5\)  \n(3) \((－2)+(＋2)=0\)  \n(4) \((－7)+(－12)=−(7+12)=−19\)  \n(5) \(0+(＋14)=+14\)  \n(6) \((+13)+(＋34)=+(13+34)=+47\)  \n(7) \((－21)+(＋38)=+(38−21)=+17\)  \n(8) \((－28)+(－44)=−(28+44)=−72\)  \n(9) \((+54)+(－36)=+(54−36)=+18\)  \n(10) \((－46)+(－46)=−(46+46)=−92\)  \n(11) \((－72)+0=−72\)  \n(12) \((+49)+(－62)=−(62−49)=−13\)  \n(13) \begin{aligned}[t]\n  &(+32)+(－9)+(－22)\\\n  &=(+32)+(－22)+(－9)\\\n  &\;=\{(+32)+(－22)\}+(－9)\\\n  &\;=(+10)+(－9)\\\n  &\;=+1\n\end{aligned}  \n(14) \begin{aligned}[t]\n  &(－24)+(＋43)+(＋17)+(－16)\\\n  &= (－24)+(－16)+(＋43)+(＋17)\\\n  &\;=\{(－24)+(－16)\}+\{(+43)+(+17)\}\\\n  &\;=(－40)+(＋60)\\\n  &\;=+20\n\end{aligned},
c399862d3b9d6b76c8436e924a68c45b,23,23,中学1年,正の数・負の数,正の数・負の数の加法，減法,22. 減法［改訂版 STEP演習 中学数学1 STEP A 問題22］\n\n次の減法を、加法になおして計算しなさい。  \n(1) \( (+5) - (+1) \)  \n(2) \( (-1) - (+6) \)  \n(3) \( (+13) - (+19) \)  \n(4) \( (+36) - (+67) \)  \n(5) \( (-57) - (+39) \)  \n(6) \( (-48) - (+31) \)  \n\n解答  \n(1) \(+4\)  \n(2) \(-7\)  \n(3) \(-6\)  \n(4) \(-31\)  \n(5) \(-96\)  \n(6) \(-79\)  \n\n(1) \( (+5) - (+1) = (+5) + (-1) \)  \n  \( = +4 \)  \n\n(2) \( (-1) - (+6) = (-1) + (-6) \)  \n  \( = -7 \)  \n\n(3) \( (+13) - (+19) = (+13) + (-19) \)  \n  \( = -6 \)  \n\n(4) \( (+36) - (+67) = (+36) + (-67) \)  \n  \( = -31 \)  \n\n(5) \( (-57) - (+39) = (-57) + (-39) \)  \n  \( = -96 \)  \n\n(6) \( (-48) - (+31) = (-48) + (-31) \)  \n  \( = -79 \),
c399862d3b9d6b76c8436e924a68c45b,24,24,中学1年,正の数・負の数,正の数・負の数の加法，減法,23. 減法 [改訂版 STEP演習 中学数学1 STEP A 問題23]  \n次の減法を、加法になおして計算しなさい。  \n(1) $(-8) - (-5)$  \n(2) $(-9) - (-2)$  \n(3) $(+4) - (-7)$  \n(4) $(-3) - (-3)$  \n(5) $(-7) - 0$  \n(6) $(-4) - (-23)$  \n(7) $0 - (-24)$  \n(8) $(-62) - (-54)$  \n(9) $(-264) - (-524)$  \n\n解答  \n(1) $-3$\quad(2) $-7$\quad(3) $+11$\quad(4) $0$\quad(5) $-7$\quad(6) $+19$\quad(7) $+24$\quad(8) $-8$\quad(9) $+260$  \n\n(1) $(-8) - (-5) = (-8) + (+5) = -3$  \n(2) $(-9) - (-2) = (-9) + (+2) = -7$  \n(3) $(+4) - (-7) = (+4) + (+7) = +11$  \n(4) $(-3) - (-3) = (-3) + (+3) = 0$  \n(5) $(-7) - 0 = -7$  \n(6) $(-4) - (-23) = (-4) + (+23) = +19$  \n(7) $0 - (-24) = 0 + (+24) = +24$  \n(8) $(-62) - (-54) = (-62) + (+54) = -8$  \n(9) $(-264) - (-524) = (-264) + (+524) = +260$,
c399862d3b9d6b76c8436e924a68c45b,25,25,中学1年,正の数・負の数,正の数・負の数の加法，減法,24. 減法［改訂版 STEP演習 中学数学1 ドリル24］  \n次の減法を、加法になおして計算しなさい。  \n(1) $(+3) - (+8)$ (2) $(+5) - (-4)$ (3) $0 - (-9)$  \n(4) $(-7) - (+15)$ (5) $(-6) - (-1)$ (6) $(+4) - (+3)$  \n(7) $(-10) - (+2)$ (8) $(+32) - 0$ (9) $(+12) - (-29)$  \n(10) $(-21) - (+36)$ (11) $(-78) - (-64)$ (12) $(+35) - (-83)$  \n\n解答  \n(1) $-5$  \n(2) $+9$  \n(3) $+9$  \n(4) $-22$  \n(5) $-5$  \n(6) $+1$  \n(7) $-12$  \n(8) $+32$  \n(9) $+41$  \n(10) $-57$  \n(11) $-14$  \n(12) $+118$  \n\n(1) $(+3)-(+8)=(+3)+(-8)= -5$  \n(2) $(+5)-(-4)=(+5)+(+4)= +9$  \n(3) $0-(-9)=0+(+9)= +9$  \n(4) $(-7)-(+15)=(-7)+(-15)= -22$  \n(5) $(-6)-(-1)=(-6)+(+1)= -5$  \n(6) $(+4)-(+3)=(+4)+(-3)= +1$  \n(7) $(-10)-(+2)=(-10)+(-2)= -12$  \n(8) $(+32)-0= +32$  \n(9) $(+12)-(-29)=(+12)+(+29)= +41$  \n(10) $(-21)-(+36)=(-21)+(-36)= -57$  \n(11) $(-78)-(-64)=(-78)+(+64)= -14$  \n(12) $(+35)-(-83)=(+35)+(+83)= +118$,
